766	208
419	849
148	1105
458	894
352	295
860	199
1145	405
304	1103
130	1147
708	90
81	1167
594	747
531	427
889	322
1000	536
647	201
487	1038
874	1018
876	178
78	1101
773	677
455	449
931	387
286	717
327	993
226	596
37	96
1055	584
692	134
1084	927
162	615
750	40
127	1112
27	944
441	193
241	1168
29	942
351	898
564	184
337	910
207	57
372	1006
987	72
344	543
698	898
711	912
1165	260
234	163
30	129
359	660
1056	397
747	312
785	669
681	546
820	779
1044	826
147	176
60	319
562	451
396	100
491	486
878	337
10	124
1112	1107
295	1171
55	207
943	392
460	1065
619	800
453	1054
1143	248
324	910
113	355
1157	201
24	1149
610	1006
111	1143
629	379
1139	566
666	756
811	371
788	83
578	921
507	512
858	1040
388	115
131	142
749	1100
663	639
1032	866
685	831
176	402
32	450
927	68
748	428
4	266
860	1148
774	943
196	254
590	1132
705	652
1108	24
56	407
1145	352
204	12
320	119
986	650
134	1022
673	415
820	210
1052	1069
674	990
632	192
1035	89
22	899
1092	408
21	785
709	1063
357	1102
442	865
266	265
456	357
1134	337
383	47
534	445
711	1156
446	624
1173	1105
302	315
550	993
494	434
843	327
592	633
520	449
862	226
567	105
202	1036
1126	953
1139	98
393	725
950	590
245	312
1156	1081
378	102
827	274
1083	718
344	117
870	246
345	738
1163	141
509	702
252	640
427	987
849	1049
1145	285
465	949
369	965
351	891
525	181
885	272
56	543
442	477
799	645
819	373
920	535
709	561
555	714
640	1004
187	303
315	546
1129	1161
546	12
646	617
734	77
651	882
772	812
1147	318
919	791
1154	471
747	951
191	105
251	600
1014	325
752	396
692	562
1025	30
995	900
651	781
405	46
185	657
518	307
1141	257
816	265
424	403
27	893
395	283
218	1180
1032	745
837	309
432	583
950	530
1145	692
1013	30
950	420
1168	998
51	10
1048	1136
180	1073
266	660
718	719
1061	953
132	86
344	1090
280	697
636	251
1005	1167
347	696
543	90
232	965
1097	976
713	304
846	540
283	1105
364	701
239	176
1041	486
1058	648
7	135
868	1020
343	583
799	906
674	196
1114	317
941	930
787	1002
745	589
886	136
689	758
632	616
161	868
396	530
553	506
882	613
1126	765
48	829
796	1086
572	366
222	826
1072	245
898	1015
260	910
470	4
459	667
159	234
873	156
561	121
600	894
103	689
305	171
977	118
170	1134
559	820
701	323
554	706
403	1085
1068	660
107	378
1005	34
1074	733
647	986
1137	420
1018	471
367	1023
881	165
1008	277
940	52
1109	364
256	1136
668	231
1095	1063
1123	242
390	1012
287	694
227	237
1126	28
60	821
1058	62
226	88
893	418
197	580
478	525
67	866
203	511
1147	703
403	181
528	399
371	182
524	388
503	361
6	761
996	818
1048	91
960	1049
132	304
886	383
507	621
915	288
438	596
976	767
316	1035
1045	1021
240	86
1091	1048
20	1178
683	398
60	980
982	371
555	473
1101	476
152	795
284	166
127	658
732	1159
59	604
1051	543
81	21
809	1161
571	415
457	419
532	461
666	175
541	457
957	789
806	722
329	57
134	285
282	122
91	1096
706	469
582	771
